Longitude,Latitude,Loc_ID,Type
120.9684268,17.59062276,Abra-Malibcong-Binasaran,Village
121.0542429,17.59519977,Abra-Malibcong-Buanao,Village
121.0102738,17.62331599,Abra-Malibcong-Dulao,Village
121.0247437,17.55536526,Abra-Malibcong-Duldulao,Village
121.0091381,17.52480783,Abra-Malibcong-Gacab,Village
121.0829596,17.57937348,Abra-Malibcong-Lat-Ey,Village
120.9755641,17.55862063,Abra-Malibcong-Malibcong,Village
121.0587741,17.63055573,Abra-Malibcong-Mataragan,Village
121.0588631,17.64757855,Abra-Malibcong-Pacgued,Village
121.0121915,17.58144758,Abra-Malibcong-Taripan,Village
121.0389168,17.58417863,Abra-Malibcong-Umnap,Village
120.7347403,17.42337539,Abra-Manabo-Ayyeng,Village
120.7253744,17.45355175,Abra-Manabo-Catacdegan Nuevo,Village
120.7241487,17.45027213,Abra-Manabo-Catacdegan Viejo,Village
120.7027865,17.43852987,Abra-Manabo-Luzong,Village
120.6995413,17.44915336,Abra-Manabo-San Jose Norte,Village
120.7264901,17.44316818,Abra-Manabo-San Jose Sur,Village
120.6860902,17.43170039,Abra-Manabo-San Juan Norte,Village
120.6856815,17.42450067,Abra-Manabo-San Juan Sur,Village
120.7335586,17.38771552,Abra-Manabo-San Ramon East,Village
120.6938186,17.40041175,Abra-Manabo-San Ramon West,Village
120.6837568,17.43908572,Abra-Manabo-Santo Tomas,Village
120.6618299,17.56316755,Abra-Peñarrubia-Dumayco,Village
120.6755614,17.5515681,Abra-Peñarrubia-Lusuac,Village
120.6555699,17.52739441,Abra-Peñarrubia-Malamsit,Village
120.6437468,17.55000705,Abra-Peñarrubia-Namarabar,Village
120.6533534,17.5522513,Abra-Peñarrubia-Patiao,Village
120.652459,17.567349,Abra-Peñarrubia-Poblacion,Village
120.643515,17.56655131,Abra-Peñarrubia-Riang,Village
120.6820377,17.52304138,Abra-Peñarrubia-Santa Rosa,Village
120.642336,17.53961064,Abra-Peñarrubia-Tattawa,Village
120.5621208,17.53007965,Abra-Pidigan-Alinaya,Village
120.5922042,17.50595206,Abra-Pidigan-Arab,Village
120.5535875,17.54021056,Abra-Pidigan-Garreta,Village
120.5958026,17.52525537,Abra-Pidigan-Immuli,Village
120.544761,17.56417741,Abra-Pidigan-Laskig,Village
120.5972866,17.54568249,Abra-Pidigan-Monggoc,Village
120.5753851,17.55908498,Abra-Pidigan-Naguirayan,Village
120.5584087,17.56522777,Abra-Pidigan-Pamutic,Village
120.5871901,17.54866223,Abra-Pidigan-Pangtud,Village
120.5731409,17.57029273,Abra-Pidigan-Poblacion East,Village
120.5860828,17.57056492,Abra-Pidigan-Poblacion West,Village
120.5464535,17.57402907,Abra-Pidigan-San Diego,Village
120.5454901,17.54143972,Abra-Pidigan-Sulbec,Village
120.5605909,17.55508641,Abra-Pidigan-Suyo,Village
