barangay,municipality,province,case_status,date,case_status_fct,case_type,year,island
Buyabod,Santa Cruz,Marinduque,Probable,28/03/2025,Probable (Animal),Animal,2025,Marinduque
Magapua,Mogpog,Marinduque,Confirmed,20/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Isok I,Boac,Marinduque,Confirmed,13/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Hupi,Santa Cruz,Marinduque,Probable,28/05/2025,Probable (Animal),Animal,2025,Marinduque
Matalaba,Santa Cruz,Marinduque,Confirmed,03/06/2025,Confirmed (Animal),Animal,2025,Marinduque
Tiguion,Gasan,Marinduque,Confirmed,20/07/2025,Confirmed (Animal),Animal,2025,Marinduque
Masaguisi,Santa Cruz,Marinduque,Confirmed,02/09/2025,Confirmed (Animal),Animal,2025,Marinduque
Buyabod,Santa Cruz,Marinduque,Confirmed,15/10/2025,Confirmed (Animal),Animal,2025,Marinduque
Buyabod,Santa Cruz,Marinduque,Confirmed,15/10/2025,Confirmed (Animal),Animal,2025,Marinduque
Buyabod,Santa Cruz,Marinduque,Probable,02/10/2025,Probable (Animal),Animal,2025,Marinduque
Balanacan,Mogpog,Marinduque,Confirmed,22/12/2025,Confirmed (Animal),Animal,2025,Marinduque
Ino,Mogpog,Marinduque,Confirmed,15/01/2026,Confirmed (Animal),Animal,2026,Marinduque
Tigwi,Torrijos,Marinduque,Confirmed,14/01/2026,Confirmed (Animal),Animal,2026,Marinduque
Ino,Buenavista,Marinduque,Confirmed,20/03/2026,Confirmed (Animal),Animal,2026,Marinduque
Malibago,Torrijos,Marinduque,Probable,20/03/2026,Probable (Animal),Animal,2026,Marinduque
Malibago,Torrijos,Marinduque,Probable,08/04/2026,Probable (Animal),Animal,2026,Marinduque
Magbay,San Jose,Occidental Mindoro,Confirmed,10/02/2024,Confirmed (Animal),Animal,2024,Occidental Mindoro
Adela,Rizal,Occidental Mindoro,Confirmed,15/08/2023,Confirmed (Animal),Animal,2023,Occidental Mindoro
Mapaya,San Jose,Occidental Mindoro,Confirmed,29/08/2023,Confirmed (Animal),Animal,2023,Occidental Mindoro
Mabini,San Jose,Occidental Mindoro,Confirmed,10/09/2023,Confirmed (Animal),Animal,2023,Occidental Mindoro
Bagong Sikat,San Jose,Occidental Mindoro,Confirmed,04/11/2023,Confirmed (Animal),Animal,2023,Occidental Mindoro
Concepcion,Calintaan,Occidental Mindoro,Confirmed,04/02/2022,Confirmed (Animal),Animal,2022,Occidental Mindoro
Rumbang,Rizal,Occidental Mindoro,Confirmed,07/03/2025,Confirmed (Animal),Animal,2025,Occidental Mindoro
Camburay,San Jose,Occidental Mindoro,Confirmed,20/02/2026,Confirmed (Animal),Animal,2026,Occidental Mindoro
Paclolo,Magsaysay,Occidental Mindoro,Confirmed,07/03/2026,Confirmed (Animal),Animal,2026,Occidental Mindoro
Malinao,Naujan,Oriental Mindoro,Confirmed,10/02/2020,Confirmed (Animal),Animal,2020,Oriental Mindoro
B. Del Mundo,Mansalay,Oriental Mindoro,Confirmed,02/04/2020,Confirmed (Animal),Animal,2020,Oriental Mindoro
Del Pilar,Naujan,Oriental Mindoro,Confirmed,26/09/2020,Confirmed (Animal),Animal,2020,Oriental Mindoro
Sapul,Calapan City,Oriental Mindoro,Confirmed,26/01/2020,Confirmed (Animal),Animal,2020,Oriental Mindoro
San Narciso,Victoria,Oriental Mindoro,Confirmed,09/02/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
