barangay,municipality,province,case_status,date,case_status_fct,case_type,year,island
Bancuro,Naujan,Oriental Mindoro,Confirmed,27/05/2025,Confirmed (Animal),Animal,2025,Oriental Mindoro
Balete,Gloria,Oriental Mindoro,Confirmed,05/06/2025,Confirmed (Animal),Animal,2025,Oriental Mindoro
Lumang Bayan,Calapan City,Oriental Mindoro,Probable,01/06/2025,Probable (Animal),Animal,2025,Oriental Mindoro
Andres Bonifacio,Gloria,Oriental Mindoro,Confirmed,24/06/2025,Confirmed (Animal),Animal,2025,Oriental Mindoro
Santo Nino,Calapan City,Oriental Mindoro,Confirmed,02/07/2025,Confirmed (Animal),Animal,2025,Oriental Mindoro
Jose Leido Jr.,Victoria,Oriental Mindoro,Probable,07/07/2025,Probable (Animal),Animal,2025,Oriental Mindoro
Parang,Calapan City,Oriental Mindoro,Confirmed,20/07/2025,Confirmed (Animal),Animal,2025,Oriental Mindoro
Pili,Pinamalayan,Oriental Mindoro,Confirmed,29/09/2025,Confirmed (Animal),Animal,2025,Oriental Mindoro
Pili,Pinamalayan,Oriental Mindoro,Probable,31/08/2025,Probable (Animal),Animal,2025,Oriental Mindoro
Pili,Pinamalayan,Oriental Mindoro,Probable,30/08/2025,Probable (Animal),Animal,2025,Oriental Mindoro
Pili,Pinamalayan,Oriental Mindoro,Probable,28/08/2025,Probable (Animal),Animal,2025,Oriental Mindoro
Marfrancisco,Pinamalayan,Oriental Mindoro,Confirmed,22/10/2025,Confirmed (Animal),Animal,2025,Oriental Mindoro
Ilaya,Calapan City,Oriental Mindoro,Confirmed,16/04/2026,Confirmed (Animal),Animal,2026,Oriental Mindoro
Odiong,Roxas,Oriental Mindoro,Confirmed,19/05/2026,Confirmed (Animal),Animal,2026,Oriental Mindoro
Paroyhog,Santa Maria,Romblon,Probable,12/11/2022,Probable (Animal),Animal,2022,Tablas Island (Romblon)
Cabolutan,San Agustin,Romblon,Confirmed,14/11/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
Paroyhog,Santa Maria,Romblon,Confirmed,18/11/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
San Isidro,Alcantara,Romblon,Confirmed,17/10/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
Dapawan,Odiongan,Romblon,Confirmed,23/11/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
Bonlao,Alcantara,Romblon,Confirmed,24/11/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
Dapawan,Odiongan,Romblon,Confirmed,10/12/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
San Isidro,Alcantara,Romblon,Confirmed,30/09/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
Carmen,San Agustin,Romblon,Confirmed,13/12/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
Paroyhog,Santa Maria,Romblon,Confirmed,27/12/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
Tulay,Odiongan,Romblon,Confirmed,25/12/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
Dapawan,Odiongan,Romblon,Confirmed,11/12/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
Carmen,San Agustin,Romblon,Confirmed,03/01/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Dapawan,Odiongan,Romblon,Confirmed,13/01/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Sugod,San Agustin,Romblon,Confirmed,20/01/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Concepcion Norte,Santa Maria,Romblon,Confirmed,19/01/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Sugod,San Agustin,Romblon,Confirmed,27/01/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Carmen,San Agustin,Romblon,Confirmed,30/01/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Concepcion Norte,Santa Maria,Romblon,Confirmed,10/01/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Concepcion Sur,Santa Maria,Romblon,Confirmed,07/02/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Juncarlo,San Andres,Romblon,Confirmed,09/02/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Poctoy,Odiongan,Romblon,Confirmed,16/02/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Rizal,Odiongan,Romblon,Confirmed,05/02/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Concepcion Norte,Santa Maria,Romblon,Confirmed,14/02/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Dapawan,Odiongan,Romblon,Confirmed,28/02/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Poctoy,Odiongan,Romblon,Confirmed,01/03/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Mahabang Baybay,San Agustin,Romblon,Confirmed,01/03/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Canduyong,Odiongan,Romblon,Confirmed,14/03/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Gabawan,Odiongan,Romblon,Confirmed,10/03/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Sugod,San Agustin,Romblon,Confirmed,15/03/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Dubduban,San Agustin,Romblon,Confirmed,15/03/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Gui-Ob,Alcantara,Romblon,Confirmed,05/04/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Punta,Looc,Romblon,Confirmed,13/04/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Pangulo,Calatrava,Romblon,Confirmed,19/04/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Concepcion Sur,Santa Maria,Romblon,Probable,26/12/2022,Probable (Animal),Animal,2022,Tablas Island (Romblon)
Tulay,Odiongan,Romblon,Probable,01/01/2023,Probable (Animal),Animal,2023,Tablas Island (Romblon)
Cagbuaya,San Agustin,Romblon,Confirmed,23/05/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Dubduban,San Agustin,Romblon,Confirmed,27/06/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Matutuna,San Andres,Romblon,Confirmed,04/07/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Linawan,San Andres,Romblon,Confirmed,03/08/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Carmen,San Agustin,Romblon,Confirmed,01/07/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Mat-I,Santa Fe,Romblon,Confirmed,29/08/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Mat-I,Santa Fe,Romblon,Confirmed,21/08/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Concepcion Norte,Santa Maria,Romblon,Confirmed,09/09/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Bachawan,San Agustin,Romblon,Confirmed,27/09/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Poblacion,Alcantara,Romblon,Confirmed,17/10/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Pangulo,Calatrava,Romblon,Confirmed,25/10/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Tabugon,Santa Fe,Romblon,Confirmed,24/10/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Poblacion,Looc,Romblon,Confirmed,13/11/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Poblacion,Alcantara,Romblon,Confirmed,12/12/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Mahabang Baybay,San Agustin,Romblon,Confirmed,12/02/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
San Roque,Alcantara,Romblon,Confirmed,14/12/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Sugod,San Agustin,Romblon,Confirmed,07/12/2023,Confirmed (Animal),Animal,2023,Tablas Island (Romblon)
Concepcion Sur,Santa Maria,Romblon,Confirmed,12/12/2022,Confirmed (Animal),Animal,2022,Tablas Island (Romblon)
Tumingad,Odiongan,Romblon,Confirmed,15/04/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Tulay,Odiongan,Romblon,Confirmed,12/04/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Malilico,Odiongan,Romblon,Confirmed,03/05/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Tumingad,Odiongan,Romblon,Confirmed,10/04/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Bonlao,Alcantara,Romblon,Confirmed,25/04/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Pili,San Fernando,Romblon,Confirmed,28/04/2024,Confirmed (Animal),Animal,2024,Sibuyan Island (Romblon)
Poctoy,Odiongan,Romblon,Confirmed,03/05/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Cabolutan,San Agustin,Romblon,Probable,23/04/2024,Probable (Animal),Animal,2024,Tablas Island (Romblon)
Pili,Looc,Romblon,Confirmed,15/05/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Limon Norte,Looc,Romblon,Confirmed,08/05/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Mahabang Baybay,San Agustin,Romblon,Confirmed,16/05/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Tugdan,Alcantara,Romblon,Confirmed,13/05/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Tabobo-An,Odiongan,Romblon,Confirmed,08/05/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Calagonsao,Alcantara,Romblon,Confirmed,15/06/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Sugod,San Agustin,Romblon,Probable,14/02/2024,Probable (Animal),Animal,2024,Tablas Island (Romblon)
Pandan,Santa Fe,Romblon,Probable,17/02/2024,Probable (Animal),Animal,2024,Tablas Island (Romblon)
Pandan,Santa Fe,Romblon,Probable,17/02/2024,Probable (Animal),Animal,2024,Tablas Island (Romblon)
Camili,Alcantara,Romblon,Confirmed,02/03/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Poblacion,Looc,Romblon,Confirmed,12/03/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Tugdan,Alcantara,Romblon,Confirmed,07/04/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Pandan,Santa Fe,Romblon,Confirmed,08/03/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Dapawan,Odiongan,Romblon,Probable,15/04/2025,Probable (Animal),Animal,2025,Tablas Island (Romblon)
Mayha,Odiongan,Romblon,Probable,15/04/2025,Probable (Animal),Animal,2025,Tablas Island (Romblon)
Tulay,Odiongan,Romblon,Probable,15/04/2025,Probable (Animal),Animal,2025,Tablas Island (Romblon)
Pandan,Santa Fe,Romblon,Probable,12/03/2024,Probable (Animal),Animal,2024,Tablas Island (Romblon)
Camod-Om,Alcantara,Romblon,Probable,19/06/2024,Probable (Animal),Animal,2024,Tablas Island (Romblon)
Punta,Looc,Romblon,Confirmed,23/05/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Agutay,Magdiwang,Romblon,Confirmed,18/06/2024,Confirmed (Animal),Animal,2024,Sibuyan Island (Romblon)
Taclobo,San Fernando,Romblon,Confirmed,08/07/2024,Confirmed (Animal),Animal,2024,Sibuyan Island (Romblon)
Cambajao,Cajidiocan,Romblon,Confirmed,12/07/2024,Confirmed (Animal),Animal,2024,Sibuyan Island (Romblon)
San Isidro,Alcantara,Romblon,Confirmed,06/07/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Calagonsao,Alcantara,Romblon,Confirmed,26/07/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Poblacion,Santa Fe,Romblon,Confirmed,16/10/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Gabawan,Odiongan,Romblon,Probable,21/09/2024,Probable (Animal),Animal,2024,Tablas Island (Romblon)
Camod-Om,Alcantara,Romblon,Confirmed,01/09/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Tugdan,Alcantara,Romblon,Confirmed,11/10/2024,Confirmed (Animal),Animal,2024,Tablas Island (Romblon)
Jao-Asan,Magdiwang,Romblon,Confirmed,13/10/2024,Confirmed (Animal),Animal,2024,Sibuyan Island (Romblon)
Ipil,Magdiwang,Romblon,Confirmed,26/11/2024,Confirmed (Animal),Animal,2024,Sibuyan Island (Romblon)
Poblacion,Magdiwang,Romblon,Confirmed,11/11/2024,Confirmed (Animal),Animal,2024,Sibuyan Island (Romblon)
Poblacion,Cajidiocan,Romblon,Confirmed,10/11/2024,Confirmed (Animal),Animal,2024,Sibuyan Island (Romblon)
Poblacion,Magdiwang,Romblon,Confirmed,09/11/2024,Confirmed (Animal),Animal,2024,Sibuyan Island (Romblon)
Azarga,San Fernando,Romblon,Confirmed,04/03/2025,Confirmed (Animal),Animal,2025,Sibuyan Island (Romblon)
Pili,Looc,Romblon,Probable,14/01/2025,Probable (Animal),Animal,2025,Tablas Island (Romblon)
Poblacion,Ferrol,Romblon,Confirmed,09/05/2025,Confirmed (Animal),Animal,2025,Tablas Island (Romblon)
Poblacion,San Andres,Romblon,Confirmed,14/05/2025,Confirmed (Animal),Animal,2025,Tablas Island (Romblon)
Poblacion,San Agustin,Romblon,Confirmed,15/05/2025,Confirmed (Animal),Animal,2025,Tablas Island (Romblon)
Dapawan,Odiongan,Romblon,Confirmed,07/07/2025,Confirmed (Animal),Animal,2025,Tablas Island (Romblon)
Buenavista,Looc,Romblon,Confirmed,09/08/2025,Confirmed (Animal),Animal,2025,Tablas Island (Romblon)
Dona Juana,San Agustin,Romblon,Confirmed,10/06/2025,Confirmed (Animal),Animal,2025,Tablas Island (Romblon)
